PESEL,first_name,middle_name,last_name,gender,date_of_birth,position,hire_date,hourly_rate
68011810139,Tomasz,Adam,Kurek,M,1968-01-18,Cleaning Worker,2021-02-17,27.0
88032898468,Natalia,Zofia,Sierpień,F,1988-03-28,Cleaning Worker,2023-08-17,27.0
96102016751,Tomasz,Adam,Wójcik,M,1996-10-20,Cleaning Worker,2023-01-13,27.0
83051228593,Piotr,,Sikora,M,1983-05-12,Cleaning Worker,2024-07-21,27.0
88091613479,Tomasz,Łukasz,Zając,M,1988-09-16,Cleaning Worker,2024-05-19,27.0
87031491580,Agnieszka,Maria,Zając,F,1987-03-14,Cleaning Worker,2021-05-16,27.0
97042365105,Natalia,Elżbieta,Kurek,F,1997-04-23,Cleaning Worker,2023-04-05,27.0
75020759171,Jan,,Król,M,1975-02-07,Cleaning Worker,2022-05-23,27.0
65020111422,Magdalena,Zofia,Wójcik,F,1965-02-01,Cleaning Worker,2022-07-31,27.0
02270326116,Piotr,Michał,Wieczorek,M,2002-07-03,Cleaning Worker,2021-04-16,27.0
83012358273,Marek,Stanisław,Król,M,1983-01-23,Cleaning Team Leader,2023-11-21,31.0
65120677783,Agnieszka,Zofia,Sierpień,F,1965-12-06,Cleaning Team Leader,2022-03-09,31.0
85100927297,Jacek,Adam,Krakowiak,M,1985-10-09,Cleaning Team Leader,2024-02-20,31.0
81050936019,Tomasz,Michał,Kaczmarek,M,1981-05-09,Cleaning Team Leader,2023-02-09,31.0
77012675986,Anna,Elżbieta,Kaczmarek,F,1977-01-26,Cleaning Team Leader,2023-08-07,31.0
96091261059,Krzysztof,Łukasz,Sierpień,M,1996-09-12,Foreman,2024-07-28,35.0
74010542940,Agnieszka,Maria,Adamczyk,F,1974-01-05,Foreman,2024-06-09,35.0
89122397942,Monika,Barbara,Kurek,F,1989-12-23,Cleaning Equipment Technician,2021-04-10,37.0
79011320010,Jan,Łukasz,Sierpień,M,1979-01-13,Cleaning Equipment Technician,2024-02-12,37.0
65102880642,Anna,Barbara,Kowalczyk,F,1965-10-28,Quality Control Specialist,2023-12-12,38.0
99052424159,Piotr,Adam,Kurek,M,1999-05-24,Quality Control Specialist,2024-04-28,38.0
79112415509,Katarzyna,Maria,Lis,F,1979-11-24,Cleaning Service Manager,2021-06-04,45.0
