id,date,hours_worked,performed_tasks,employee_id,facility_id,salary_amount,bonus
291,2025-03-18,3,"[304, 939]",79011320010,DQI566ecs,1221.0,800.0
203,2025-03-22,2,[590],84731091580,ICE284hap,567.0,160.0
304,2025-06-16,4,"[253, 956, 959]",88032898468,XEB805tup,621.0,760.0
186,2025-03-15,3,[],68011810139,ICE284hap,486.0,0.0
793,2025-06-11,5,"[123, 900]",62020111425,EJE533apv,3483.0,450.0
794,2025-03-25,7,"[123, 296]",68011810139,ICE284hap,837.0,325.0
932,2025-05-27,2,"[148, 961]",97042365105,DQI566ecs,1053.0,790.0
331,2025-04-10,8,[146],83051228593,XEB805tup,378.0,500.0
61,2025-06-06,4,"[304, 452]",75020759171,EJE533apv,270.0,440.0
177,2025-04-19,4,[],96091261059,XEB805tup,945.0,0.0
521,2025-06-10,2,"[146, 561]",65102880642,DQI566ecs,190.0,1000.0
799,2025-03-31,1,[900],75020759171,DQI566ecs,1026.0,160.0
35,2025-05-29,1,"[221, 765, 867, 939]",96091261059,ICE284hap,1470.0,665.0
946,2025-04-12,8,"[447, 590]",83012358273,DQI566ecs,682.0,660.0
474,2025-04-22,3,"[253, 900, 939]",99052424159,ICE284hap,1330.0,820.0
867,2025-05-06,1,[],83012358273,XEB805tup,31.0,0.0
798,2025-03-04,5,"[304, 946]",16102016795,DQI566ecs,135.0,590.0
300,2025-03-11,4,"[253, 946, 978]",79112415509,ICE284hap,585.0,590.0
348,2025-04-05,4,"[123, 242, 387, 964]",74010542940,DQI566ecs,350.0,805.0
590,2025-05-13,3,[],79011320010,EJE533apv,666.0,0.0
785,2025-03-06,3,"[867, 900, 961]",68011910138,XEB805tup,162.0,800.0
769,2025-05-03,5,[561],89122397942,DQI566ecs,777.0,500.0
192,2025-03-31,8,[],77012675986,XEB805tup,1178.0,0.0
358,2025-06-21,7,[],79011320010,APV440ysv,1147.0,0.0
548,2025-05-19,7,[304],15720759071,EJE533apv,2700.0,300.0
391,2025-03-27,8,[146],96102016751,DQI566ecs,1458.0,500.0
97,2025-03-22,5,[946],83051228593,APV440ysv,1161.0,290.0
44,2025-03-25,8,[],87031491580,EJE533apv,1350.0,0.0
647,2025-04-09,1,"[359, 959, 961]",79011320010,EJE533apv,703.0,851.0
850,2025-05-27,2,"[447, 900]",89122397942,XEB805tup,1517.0,660.0
875,2025-04-08,4,"[253, 590]",88091613479,EJE533apv,405.0,320.0
169,2025-04-22,1,"[253, 561, 867]",88032898468,APV440ysv,945.0,800.0
630,2025-05-17,3,"[939, 946, 978]",16102016795,XEB805tup,2214.0,930.0
995,2025-03-07,1,"[146, 959]",85100927297,ICE284hap,403.0,800.0
178,2025-06-17,5,[447],68011810139,ICE284hap,405.0,500.0
273,2025-05-22,3,"[244, 900, 961",88032898468,ICE284hap,837.0,727.0
614,2025-03-18,5,[],88091613479,EJE533apv,432.0,0.0
91,2025-04-25,7,[385],62020111425,XEB805tup,1782.0,290.0
893,2025-03-26,6,"[632, 864, 867, 946, 959]",99052424159,XEB805tup,1672.0,801.0
144,2025-06-18,2,"[385, 939",83051228593,XEB805tup,756.0,790.0
990,2025-06-31,2,"[447, 939]",96102016751,XEB805tup,1296.0,1000.0
654,2025-06-11,4,"[385, 590, 946]",77012675986,EJE533apv,496.0,740.0
951,2025-03-06,3,[],68011810139,XEB805tup,162.0,0.0
73,2025-04-19,2,[],74010542940,ICE284hap,1085.0,0.0
