first_name,last_name,account_balance
Karina,Satora,489528
Emil,Staśko,-424452
Bruno,Szyndler,-932162
Rozalia,Dziurla,-626962
Marianna,Fidor,539248
Olgierd,Linek,399065
Daniel,Gilewicz,744305
Adrianna,Wyrwał,177623
Nataniel,Szwaj,673349
Norbert,Worach,-203949
Nela,Syroka,-870472
Konstanty,Drobnik,637040
Lidia,Romaniak,-763635
Mieszko,Osik,131225
Filip,Krysta,-934937
Daniel,Buszko,-193715
Błażej,Przeklasa,-493872
Kaja,Zinkiewicz,804696
Jerzy,Mortka,-765938
Arkadiusz,Ziemkiewicz,469278
Karina,Bosek,646761
Krystyna,Małas,556701
Daniel,Sobieszczyk,-876898
Kalina,Gubernat,391470
Gaja,Jędrys,919985
Marianna,Martin,-264275
Andrzej,Zeman,197330
Antoni,Iwańczyk,-438774
Mieszko,Pryszcz,87720
Monika,Młyńczyk,289802
Anna Maria,Darul,483141
Eryk,Walasik,-154158
Arkadiusz,Ogrodowicz,-279221
Oliwier,Szylar,-688875
Jacek,Więckiewicz,-147932
Dawid,Czubaj,371788
Olgierd,Cieloch,808106
Juliusz,Krysta,60364
Julita,Kucharz,-699854
Liwia,Gryta,590478
Alex,Łacina,448026
Ewa,Dziduch,855406
Nataniel,Dietrich,-248153
Ksawery,Łyskawa,846431
Nela,Kałwa,720987
Maks,Sieg,955040
Malwina,Choina,107935
Andrzej,Ubysz,-286071
Liwia,Wasil,-10345
Ryszard,Neugebauer,-86940
Piotr,Goik,12111
Ksawery,Kadela,913120
Albert,Józefczak,424998
Mikołaj,Kossak,-544174
Liwia,Maligłówka,-376367
Witold,Kulczak,182143
Przemysław,Gierak,712021
Róża,Wiaderek,-723550
Iwo,Bernatek,284018
Julita,Sprawka,211142
Elżbieta,Bojczuk,490072
Julita,Duczek,-109868
Kazimierz,Szott,-533907
Liwia,Jaremek,258810
Mikołaj,Sromek,-315564
Maciej,Och,-249064
Patryk,Rudolf,293714
Artur,Żyto,-125121
Ewelina,Starek,-617917
Julita,Irzyk,-863870
Cyprian,Kalarus,3140
Patryk,Misiurek,-218055
Juliusz,Cherek,-899157
Fabian,Mordak,357594
Błażej,Miszkurka,812170
